name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
New York,2024-01-01,46.2,37.3,42.2,45.3,31,39.6,29.8,61.6,0.02,100,12.5,rain,0,0,20.8,8.7,319.7,1016.6,73.5,9.8,71.5,6.1,5,,2024-01-01T07:20:10,2024-01-01T16:38:58,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
New York,2024-01-02,42.8,29.5,36.4,41.4,21.8,31.7,21.1,54.4,0,0,0,,0,0,19.7,8.4,321.6,1017.8,3.8,9.9,106.7,9.2,5,,2024-01-02T07:20:17,2024-01-02T16:39:49,0.72,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
New York,2024-01-03,43.4,34.2,38.7,39,27.7,33.8,24.7,57.1,0,0,0,,0,0,14.1,9.1,296.1,1016.1,53.2,9.9,71.1,6.1,5,,2024-01-03T07:20:21,2024-01-03T16:40:41,0.75,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
New York,2024-01-04,44.5,29.4,38.8,39.5,18.4,32.9,22,51.1,0,0,0,,0,0,31.6,23.6,306,1015.8,64.7,9.9,54.7,4.7,4,,2024-01-04T07:20:23,2024-01-04T16:41:35,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
New York,2024-01-05,37.8,26.7,32,32.5,14.4,24.2,14.2,47.7,0,0,0,,0,0,30.3,15.9,288.2,1024.3,15.5,9.9,107.7,9.4,5,,2024-01-05T07:20:22,2024-01-05T16:42:30,0.81,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
New York,2024-01-06,37.4,31.5,34.3,34.4,24.9,29.2,24.2,67.3,0.39,100,37.5,"rain,snow",0,0,34.8,20,56.3,1017.7,62.1,7.6,23.5,2.1,1,,2024-01-06T07:20:19,2024-01-06T16:43:26,0.85,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with rain or snow.,rain,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
New York,2024-01-07,38.1,35,36.8,33.5,26.3,29.4,31.8,82.5,0.215,100,54.17,"rain,snow",0.6,0,33.8,17.1,358.4,1005.1,91.6,7,27,2.2,3,,2024-01-07T07:20:14,2024-01-07T16:44:24,0.88,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
New York,2024-01-08,44.7,36.4,39.9,41.9,28.9,35,23.8,52.8,0,0,0,,0,0,31.6,13.8,320,1025.7,35.9,9.9,114.3,9.9,5,,2024-01-08T07:20:07,2024-01-08T16:45:24,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
New York,2024-01-09,56.5,36.4,43.7,56.5,33.2,40.8,35.9,74.2,1.409,100,50,rain,0,0,47.4,31.9,119.8,1017.6,72.8,7.1,12.3,1.1,1,,2024-01-09T07:19:58,2024-01-09T16:46:24,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
New York,2024-01-10,57.1,45.2,50.3,57.1,38.6,46.4,35.4,58.6,0.547,100,16.67,rain,0,0,39.6,27,247.5,992.3,93,9.3,38.6,3.3,3,,2024-01-10T07:19:46,2024-01-10T16:47:26,0.97,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
New York,2024-01-11,46.4,41.4,44.3,42.5,36.2,39.3,25.9,48.1,0,0,0,,0,0,28.8,14.1,245.9,1010.2,70.1,9.9,82.4,7.1,6,,2024-01-11T07:19:32,2024-01-11T16:48:29,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
New York,2024-01-12,49.7,40.5,44.7,47.4,35.4,40.5,30.2,57.2,0.009,100,4.17,rain,0,0,32.2,13.5,103.1,1018.1,34.3,9.9,93.7,8.1,5,,2024-01-12T07:19:16,2024-01-12T16:49:32,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
New York,2024-01-13,60,37.1,49.3,60,27.9,45.3,37.3,66.2,0.951,100,37.5,rain,0,0,40.4,25.5,234.7,995.4,87.9,8,39.4,3.4,2,,2024-01-13T07:18:57,2024-01-13T16:50:37,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
New York,2024-01-14,43.2,28.1,35,36,18.2,26.7,13.3,41.6,0,0,0,,0,0,40.9,24.2,259.8,1012,30.7,9.9,72.2,6.3,4,,2024-01-14T07:18:37,2024-01-14T16:51:43,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
New York,2024-01-15,29.2,24.2,26.8,28.5,15,20.1,5.9,41.7,0.02,100,8.33,snow,0,0,21.9,9.4,267.7,1023,76.7,9.1,45,3.9,3,,2024-01-15T07:18:14,2024-01-15T16:52:50,0.15,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
New York,2024-01-16,30.8,23.3,27.6,25.1,12.6,18.8,21.7,78.9,0.294,100,70.83,"rain,snow",2.8,0.2,35.6,14.6,344.2,1011.7,83.1,4.7,12.8,1.2,1,,2024-01-16T07:17:49,2024-01-16T16:53:57,0.18,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
New York,2024-01-17,24.5,17.5,21.6,13.9,4,10.4,3.6,46.5,0,0,0,,0,0.2,29.8,16.3,276.5,1015.2,4.6,9.9,126.8,10.9,5,,2024-01-17T07:17:22,2024-01-17T16:55:06,0.25,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
New York,2024-01-18,33.2,21.6,27.8,30.1,9.6,20.1,7.7,42.3,0,0,0,,0,0.3,25.1,13.1,244,1020,64,9.7,44,3.7,2,,2024-01-18T07:16:52,2024-01-18T16:56:15,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
New York,2024-01-19,32.3,26.6,29.6,29.1,17.6,21.7,18.5,63.8,0.038,100,20.83,"rain,snow",0.6,0.2,34.4,12.9,15.3,1010.8,86.6,7.2,26,2.2,2,,2024-01-19T07:16:21,2024-01-19T16:57:25,0.29,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,snow,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
New York,2024-01-20,26.4,18.2,21.7,15.3,6.2,9.3,5.8,50,0,0,0,,0,0.2,32.7,17.1,306,1014.7,53.5,9.9,119,10.2,6,,2024-01-20T07:15:47,2024-01-20T16:58:35,0.32,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
